GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
UGC06917,C,0.0,High,HI observations of the NGC4026 companion system report a disturbed velocity field for UGC6917 and gas kinematics consistent with tidal interaction; direct disturbed-HI C evidence.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=https://academic.oup.com/mnras/article/203/2/533/1111516; source2=https://academic.oup.com/mnras/article/378/1/276/1157263"
UGC06923,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC06930,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC06973,C,0.0,High,Ursa Major notes identify UGC6973 as interacting with UGC6962 and having a warped HI disk; NRAO HI gallery also lists the UGC6962/6973 system as interacting. Direct interaction/warp evidence supports C.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=interaction; source1=https://research.rug.nl/files/3208651/rotation_curves_of_UMApdf.pdf; source2=https://www.nrao.edu/astrores/HIrogues/webGallery/RoguesGallery11.html"
UGC06983,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC07089,B,0.5,Medium,"Ursa Major imaging notes describe UGC7089 as somewhat lopsided, but this is weak morphology-only context without a direct disturbed-HI, warp, tidal, or interaction classification; keep B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=mixed; source1=https://paperzz.com/doc/8099393/the-ursa-major-cluster-of-galaxies.-i.-cluster-definition..."
UGC07125,C,0.0,Medium,Source-locked WHISP HI morphology reports high HI asymmetry A=0.774; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07151,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.051; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07232,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.787; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07261,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; Yu+2022 global HI profile asymmetry fallback; Af=1.01; Ac=1.05; notes=1; no TPG residual fields used
UGC07323,C,0.0,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.740, supporting direct disturbed-HI evidence at medium confidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports elevated HI asymmetry A=0.740, supporting direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07399,C,0.0,High,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.084, which is strong direct disturbed-HI evidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.084, which is strong direct disturbed-HI evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07524,B,0.5,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI asymmetry A=0.610 is borderline and Yu+2022 profile asymmetry is low (Af=1.05, Ac=1.12); keep as ambiguous B. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI asymmetry A=0.610 is borderline and Yu+2022 profile asymmetry is low (Af=1.05, Ac=1.12); keep as ambiguous B.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=mixed; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC07559,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.207; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07577,C,0.0,High,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports extreme HI asymmetry A=2.000, which is strong direct disturbed-HI evidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports extreme HI asymmetry A=2.000, which is strong direct disturbed-HI evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07603,C,0.0,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.917; Yu profile asymmetry is low, so treat as direct disturbed-HI evidence at medium confidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.917; Yu profile asymmetry is low, so treat as direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/ApJS/261/21 Yu+2022 ALFALFA global HI profile asymmetry
UGC07608,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.462; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07690,C,0.0,Medium,Source-locked WHISP HI morphology reports high HI asymmetry A=0.896; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; Karachentsev+2013 environment proxy; Theta1=-0.5; Theta5=-0.1; Thetaj=1.26; main_disturber=NGC4111; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC07866,C,0.0,Medium,Source-locked WHISP HI morphology reports high HI asymmetry A=0.725; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC08286,C,0.0,Medium,Source-locked WHISP HI morphology reports high HI asymmetry A=0.797; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC08490,C,0.0,Medium,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.924, supporting direct disturbed-HI evidence at medium confidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.924, supporting direct disturbed-HI evidence at medium confidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC08550,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used
UGC08699,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; no TPG residual fields used
UGC08837,C,0.0,High,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.976, which is strong direct disturbed-HI evidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports high HI asymmetry A=0.976, which is strong direct disturbed-HI evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC09037,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC09133,B,0.5,Medium,v05_batch1_reviewer1_codex_source_audit: WHISP provides resolved HI asymmetry A=0.632 but the interaction flag is 0 and no separate lopsidedness value is recorded; treat as suggestive but not decisive direct C evidence. | v05_batch1_reviewer2_codex_source_audit: WHISP provides resolved HI asymmetry A=0.632 but the interaction flag is 0 and no separate lopsidedness value is recorded; treat as suggestive but not decisive direct C evidence.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=mixed; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology; source2=VizieR J/A+A/442/137 WHISP interaction flag
UGC09992,C,0.0,High,Source-locked WHISP HI morphology reports high HI asymmetry A=1.332; treated as direct disturbance proxy under residual-blind high-HI-asymmetry resolution rule.,residual-blind external proxy review v0.2,true,WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; Karachentsev+2013 environment proxy; Theta1=-1.2; Theta5=-0.9; main_disturber=MESSIER101; no TPG residual fields used; reviewer=codex_catalog_rule_high_hi_asym_v01; reviewed_date=2026-05-12; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC10310,C,0.0,Medium,multiple external disturbance proxies present: HI asymmetry; bar/warp flag,residual-blind external proxy manifest v0.2,true,"RC3 type=.SBS9..; bar/intermediate-bar proxy only, not a warp flag.; WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; no TPG residual fields used; source1=VizieR VII/155 RC3 morphology family proxy; source2=VizieR J/MNRAS/416/2415 WHISP HI morphology"
UGC11455,B,0.5,Low,external proxy source is not locked before residual comparison,residual-blind external proxy manifest v0.2,true,no TPG residual fields used
UGC11557,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=.SXS8..; bar/intermediate-bar proxy only, not a warp flag.; no TPG residual fields used"
UGC11820,B,0.5,Low,"No source-locked direct regular-kinematic, low-asymmetry, disturbed-HI, warp, tidal, or interaction evidence was found in the residual-blind review materials; conservative v0.6 default is B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.6 residual-blind review packet and v0.5 evidence cache: no direct A/C evidence recorded"
UGC11914,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,"RC3 type=RSAR2..; bar/intermediate-bar proxy only, not a warp flag.; WHISP HI map morphology proxies: A asymmetry and Lop lopsidedness.; WHISP categorical kinematical asymmetry and interaction flags.; Yu+2022 global HI profile asymmetry fallback; Af=1.04; Ac=1.03; notes=1; no TPG residual fields used"
UGC12506,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Yu+2022 global HI profile asymmetry fallback; Af=1.01; Ac=1.05; notes=1; no TPG residual fields used
UGC12632,C,0.0,High,"v05_batch2_reviewer1_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.152, which is strong direct disturbed-HI evidence. | v05_batch2_reviewer2_codex_source_audit: WHISP resolved HI morphology reports very high HI asymmetry A=1.152, which is strong direct disturbed-HI evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=disturbed_hi; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology
UGC12732,B,0.5,Medium,WHISP resolved HI asymmetry is borderline as a single disturbance proxy and is insufficient for direct C promotion under the v0.6 conservative rule; keep B.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=mixed; source1=VizieR J/MNRAS/416/2415 WHISP HI morphology"
UGCA281,B,0.5,Medium,external proxy evidence is mixed or incomplete,residual-blind external proxy manifest v0.2,true,Karachentsev+2013 environment proxy; Theta1=-0.6; Theta5=-0.2; Thetaj=0.69; main_disturber=NGC4490; no TPG residual fields used
UGCA442,B,0.5,Low,"Karachentsev+2013 gives only weak/isolated environment context (Thetaj=0.51; main disturber NGC7793), not direct A/C evidence; default to B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
UGCA444,B,0.5,Low,v05_batch4_reviewer1_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B. | v05_batch4_reviewer2_codex_source_audit: No source-locked external proxy evidence is recorded in the v0.5 evidence cache before residual audit; protocol defaults missing/insufficient evidence to B.,residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.5 evidence cache: no source-locked external proxy evidence recorded before residual audit
